Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Import of Goods (excluding Factor Income Flows),-22751
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Export of Services (excluding Factor Income Flows),38368
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Import of Services (excluding Factor Income Flows),-40666
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Final Domestic Demand,48262
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Total Domestic Demand,48256
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Personal Expenditure on Consumer Goods and Services,24877
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Household & NPISH Final Consumption Expenditure,23467
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7666
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,General Government Expenditure on Goods & Services provided to Households,6118
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,General Government Collective Consumption Expenditure,2958
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,General Government Final Consumption Expenditure,9076
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross Domestic Fixed Capital Formation,53211
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross domestic fixed capital formation - Machinery and Equipment,6131
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross domestic fixed capital formation - Intangible Assets,42496
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4583
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Value of Physical Changes in Stocks,1741
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Exports of Goods and Services (excluding Factor Income Flows),87786
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Imports of Goods and Services (excluding Factor Income Flows),-101222
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross Domestic Product at Market Prices,72446
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Net Factor Income from the Rest of the World,-15988
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Gross National Product at Market Prices,56458
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Export of Goods (excluding Factor Income Flows),48267
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Import of Goods (excluding Factor Income Flows),-22877
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Export of Services (excluding Factor Income Flows),39519
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Import of Services (excluding Factor Income Flows),-78345
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Final Domestic Demand,85753
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q2,Total Domestic Demand,87494
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Personal Expenditure on Consumer Goods and Services,25236
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Household & NPISH Final Consumption Expenditure,23796
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7862
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,General Government Expenditure on Goods & Services provided to Households,6237
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,General Government Collective Consumption Expenditure,3064
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,General Government Final Consumption Expenditure,9302
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross Domestic Fixed Capital Formation,14439
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross domestic fixed capital formation - Machinery and Equipment,4530
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross domestic fixed capital formation - Intangible Assets,5054
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4855
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Value of Physical Changes in Stocks,1870
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Exports of Goods and Services (excluding Factor Income Flows),88897
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Imports of Goods and Services (excluding Factor Income Flows),-62722
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross Domestic Product at Market Prices,75098
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Net Factor Income from the Rest of the World,-13895
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Gross National Product at Market Prices,61203
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Export of Goods (excluding Factor Income Flows),48812
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Import of Goods (excluding Factor Income Flows),-21711
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Export of Services (excluding Factor Income Flows),40085
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Import of Services (excluding Factor Income Flows),-41010
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Final Domestic Demand,47537
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q3,Total Domestic Demand,49406
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Personal Expenditure on Consumer Goods and Services,25620
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Household & NPISH Final Consumption Expenditure,24196
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,8043
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,General Government Expenditure on Goods & Services provided to Households,6332
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,General Government Collective Consumption Expenditure,3134
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,General Government Final Consumption Expenditure,9467
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross Domestic Fixed Capital Formation,15009
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross domestic fixed capital formation - Machinery and Equipment,5386
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross domestic fixed capital formation - Intangible Assets,4338
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5285
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Value of Physical Changes in Stocks,1236
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Exports of Goods and Services (excluding Factor Income Flows),95483
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Imports of Goods and Services (excluding Factor Income Flows),-66865
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross Domestic Product at Market Prices,78936
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Net Factor Income from the Rest of the World,-17402
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Gross National Product at Market Prices,61534
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Export of Goods (excluding Factor Income Flows),51196
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Import of Goods (excluding Factor Income Flows),-21191
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Export of Services (excluding Factor Income Flows),44286
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Import of Services (excluding Factor Income Flows),-45673
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Final Domestic Demand,48672
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q4,Total Domestic Demand,49908
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Personal Expenditure on Consumer Goods and Services,26265
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Household & NPISH Final Consumption Expenditure,24721
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8121
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,General Government Expenditure on Goods & Services provided to Households,6551
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,General Government Collective Consumption Expenditure,3115
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,General Government Final Consumption Expenditure,9666
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Gross Domestic Fixed Capital Formation,16196
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2018Q1,Gross domestic fixed capital formation - Transfer Costs,NA
